Job_ID	Operation_ID_1	Point_1	Operation_ID_2	Point_2	Time_constraint
1	1	end	3	start	5
1	2	end	4	start	5
1	4	end	5	start	5
1	5	end	6	start	5
1	6	end	7	start	5
1	3	end	8	start	5
1	8	end	9	start	5
1	9	end	10	start	5
1	12	end	13	start	5
1	13	end	14	start	5
1	14	end	15	start	5
2	1	end	3	start	5
2	2	end	4	start	5
2	4	end	5	start	5
2	5	end	6	start	5
2	6	end	7	start	5
2	3	end	8	start	5
2	8	end	9	start	5
2	9	end	10	start	5
2	12	end	13	start	5
2	13	end	14	start	5
2	14	end	15	start	5
3	1	end	3	start	5
3	2	end	4	start	5
3	4	end	5	start	5
3	5	end	6	start	5
3	6	end	7	start	5
3	3	end	8	start	5
3	8	end	9	start	5
3	9	end	10	start	5
3	12	end	13	start	5
3	13	end	14	start	5
3	14	end	15	start	5
4	1	end	3	start	5
4	2	end	4	start	5
4	4	end	5	start	5
4	5	end	6	start	5
4	6	end	7	start	5
4	3	end	8	start	5
4	8	end	9	start	5
4	9	end	10	start	5
4	12	end	13	start	5
4	13	end	14	start	5
4	14	end	15	start	5
5	1	end	3	start	5
5	2	end	4	start	5
5	4	end	5	start	5
5	5	end	6	start	5
5	6	end	7	start	5
5	3	end	8	start	5
5	8	end	9	start	5
5	9	end	10	start	5
5	12	end	13	start	5
5	13	end	14	start	5
5	14	end	15	start	5
