Job_ID	Operation_ID_1	Point_1	Operation_ID_2	Point_2	Time_constraint
1	1	end	2	start	5
1	4	end	5	start	5
1	5	end	6	start	5
1	9	end	10	start	5
1	10	end	11	start	5
1	13	end	14	start	5
1	14	end	15	start	5
1	16	end	17	start	5
1	17	end	18	start	5
1	21	end	22	start	5
1	22	end	23	start	5
1	25	end	26	start	5
1	26	end	27	start	5
2	1	end	2	start	5
2	4	end	5	start	5
2	5	end	6	start	5
2	9	end	10	start	5
2	10	end	11	start	5
2	13	end	14	start	5
2	14	end	15	start	5
2	16	end	17	start	5
2	17	end	18	start	5
2	21	end	22	start	5
2	22	end	23	start	5
2	25	end	26	start	5
2	26	end	27	start	5
3	1	end	2	start	5
3	4	end	5	start	5
3	5	end	6	start	5
3	9	end	10	start	5
3	10	end	11	start	5
3	13	end	14	start	5
3	14	end	15	start	5
3	16	end	17	start	5
3	17	end	18	start	5
3	21	end	22	start	5
3	22	end	23	start	5
3	25	end	26	start	5
3	26	end	27	start	5
4	1	end	2	start	5
4	4	end	5	start	5
4	5	end	6	start	5
4	9	end	10	start	5
4	10	end	11	start	5
4	13	end	14	start	5
4	14	end	15	start	5
4	16	end	17	start	5
4	17	end	18	start	5
4	21	end	22	start	5
4	22	end	23	start	5
4	25	end	26	start	5
4	26	end	27	start	5
5	1	end	2	start	5
5	4	end	5	start	5
5	5	end	6	start	5
5	9	end	10	start	5
5	10	end	11	start	5
5	13	end	14	start	5
5	14	end	15	start	5
5	16	end	17	start	5
5	17	end	18	start	5
5	21	end	22	start	5
5	22	end	23	start	5
5	25	end	26	start	5
5	26	end	27	start	5
